### CURVA DE EXCITACAO - BOBINA GIRANTE ###

### Dados de Configuração ###

arquivo                      C:\Users\labimas\Desktop\teste.dat
data                         05/02/2014
hora                         17:11:48
temperatura(C)               0
ganho                        100
nr_pontos_integracao         128
velocidade(rps)              1.0
aceleracao(rps^2)            0.5
nr_coletas                   1
nr_voltas                    19
intervalo_analise            2-18
sentido_de_rotacao           Horario
corrente_alimentacao_avg(A)  0.00000e+00
corrente_alimentacao_std(A)  0.00000e+00
observacoes                  OBS



### Dados de Leitura ###

n   avg_L.Nn(T/m^n-2)   avg_L.Sn(T/m^n-2)   avg_L.Bn(T/m^n-2)   std_L.Nn(T/m^n-2)   std_L.Sn(T/m^n-2)   std_L.Bn(T/m^n-2)   avg_angulo(rad)     avg_L.Nn'(T/m^n-2)  avg_L.Sn'(T/m^n-2)
+9.78510000e+05  +1.01949600e+06  +1.09892300e+06  +1.07092200e+06  +1.06499700e+06  +1.09978800e+06  +1.10429700e+06  +1.00200900e+06  +1.05170500e+06  +1.01505100e+06  
+1.01403300e+06  +1.09131600e+06  +1.14363800e+06  +1.13782800e+06  +1.12418500e+06  +1.14999500e+06  +1.16556900e+06  +1.06582200e+06  +1.09060300e+06  +1.04367200e+06  
+1.02311500e+06  +1.09060000e+06  +1.15647900e+06  +1.13624000e+06  +1.13279200e+06  +1.14912500e+06  +1.18858600e+06  +1.05428400e+06  +1.11217700e+06  +1.05184900e+06  
+9.79125000e+05  +1.01701100e+06  +1.11349000e+06  +1.06320000e+06  +1.06878000e+06  +1.09924200e+06  +1.10734500e+06  +9.90896000e+05  +1.05489200e+06  +9.98602000e+05  
+1.03248100e+06  +1.12050400e+06  +1.16702900e+06  +1.17008800e+06  +1.15843000e+06  +1.18467700e+06  +1.20201200e+06  +1.08570900e+06  +1.12322500e+06  +1.07883800e+06  
+9.84687000e+05  +1.04876900e+06  +1.12036100e+06  +1.10355300e+06  +1.07946500e+06  +1.11459600e+06  +1.15111900e+06  +1.00909500e+06  +1.07326500e+06  +1.02743300e+06  
+9.94648000e+05  +1.04900800e+06  +1.11067500e+06  +1.09635300e+06  +1.08384700e+06  +1.10925400e+06  +1.12370300e+06  +1.00680700e+06  +1.07788600e+06  +1.01858700e+06  
+1.03761500e+06  +1.12483700e+06  +1.17361700e+06  +1.15607300e+06  +1.15449100e+06  +1.18386500e+06  +1.19216000e+06  +1.06580500e+06  +1.13012400e+06  +1.07829800e+06  
+9.63949000e+05  +1.01915100e+06  +1.09930900e+06  +1.06407400e+06  +1.05876700e+06  +1.09161400e+06  +1.11126200e+06  +9.83990000e+05  +1.04275400e+06  +1.00006500e+06  
+1.02412700e+06  +1.09803100e+06  +1.15497100e+06  +1.15599400e+06  +1.12745400e+06  +1.17403100e+06  +1.17107600e+06  +1.04776500e+06  +1.12344700e+06  +1.08257300e+06  
+1.00530300e+06  +1.09871100e+06  +1.16499700e+06  +1.11994400e+06  +1.12060800e+06  +1.14624100e+06  +1.15692100e+06  +1.02259400e+06  +1.09587900e+06  +1.05792500e+06  
+9.59876000e+05  +1.02410000e+06  +1.08158800e+06  +1.07667900e+06  +1.05048200e+06  +1.08590100e+06  +1.09179000e+06  +9.68723000e+05  +1.03263600e+06  +9.91492000e+05  
+1.05266200e+06  +1.13650700e+06  +1.20405800e+06  +1.18704900e+06  +1.15509300e+06  +1.20841400e+06  +1.20786600e+06  +1.06840400e+06  +1.14946300e+06  +1.10538400e+06  
+9.68176000e+05  +1.04489000e+06  +1.09261600e+06  +1.06420500e+06  +1.05992000e+06  +1.08537400e+06  +1.10660200e+06  +9.71127000e+05  +1.03723400e+06  +1.00445500e+06  
+1.02803200e+06  +1.10013900e+06  +1.16168300e+06  +1.13019100e+06  +1.11086600e+06  +1.15879200e+06  +1.16187400e+06  +1.02383800e+06  +1.09053200e+06  +1.06813700e+06  
+1.02256800e+06  +1.11682400e+06  +1.17624000e+06  +1.15269400e+06  +1.14552000e+06  +1.16486500e+06  +1.16671100e+06  +1.02641800e+06  +1.11049100e+06  +1.08155300e+06  
+9.61254000e+05  +1.02438800e+06  +1.09616000e+06  +1.07559900e+06  +1.04793600e+06  +1.08044400e+06  +1.09958900e+06  +9.60870000e+05  +1.03425700e+06  +1.00170600e+06  
+1.07179500e+06  +1.15008400e+06  +1.22272200e+06  +1.18188600e+06  +1.16124800e+06  +1.18894100e+06  +1.20556100e+06  +1.06135700e+06  +1.13711100e+06  +1.10916900e+06  
+9.80131000e+05  +1.05885100e+06  +1.10238100e+06  +1.09383100e+06  +1.08589800e+06  +1.09155800e+06  +1.09831700e+06  +9.65627000e+05  +1.04896600e+06  +1.02778600e+06  
+1.01917500e+06  +1.10249000e+06  +1.16067300e+06  +1.11961300e+06  +1.10523000e+06  +1.12855100e+06  +1.15955700e+06  +9.95779000e+05  +1.08314000e+06  +1.06021400e+06  
+1.05844100e+06  +1.12447700e+06  +1.18944900e+06  +1.14101700e+06  +1.12213200e+06  +1.14560800e+06  +1.17676000e+06  +1.04193700e+06  +1.10575700e+06  +1.07732200e+06  
+9.81336000e+05  +1.06248600e+06  +1.10751800e+06  +1.08130900e+06  +1.06808800e+06  +1.09082600e+06  +1.10355700e+06  +9.60515000e+05  +1.05431100e+06  +1.02974200e+06  
+1.06297600e+06  +1.13189200e+06  +1.20426800e+06  +1.15525500e+06  +1.13958100e+06  +1.15656200e+06  +1.20018600e+06  +1.03262900e+06  +1.11432300e+06  +1.09450200e+06  
+1.02082900e+06  +1.08928200e+06  +1.15163100e+06  +1.10971400e+06  +1.08803600e+06  +1.11230700e+06  +1.12253800e+06  +1.00145600e+06  +1.07069600e+06  +1.03864600e+06  
+1.02231600e+06  +1.09143100e+06  +1.14516600e+06  +1.11180100e+06  +1.09470900e+06  +1.10297000e+06  +1.12802600e+06  +9.94185000e+05  +1.06722400e+06  +1.04395200e+06  
+1.07331600e+06  +1.14452400e+06  +1.19731400e+06  +1.15356900e+06  +1.13218400e+06  +1.16024000e+06  +1.19961100e+06  +1.04268500e+06  +1.11186500e+06  +1.09274800e+06  
+1.00386800e+06  +1.08278600e+06  +1.14642500e+06  +1.08177600e+06  +1.06636000e+06  +1.09560100e+06  +1.12334900e+06  +9.85124000e+05  +1.05454700e+06  +1.03195600e+06  
+1.06094900e+06  +1.13888700e+06  +1.19157600e+06  +1.13323100e+06  +1.13289400e+06  +1.14568800e+06  +1.16523500e+06  +1.02677900e+06  +1.10728400e+06  +1.08601800e+06  
+1.07083100e+06  +1.12173900e+06  +1.18631800e+06  +1.12811500e+06  +1.10989300e+06  +1.13900800e+06  +1.15282600e+06  +1.02669200e+06  +1.08019700e+06  +1.06043000e+06  
+1.01040400e+06  +1.07988300e+06  +1.14886100e+06  +1.07244500e+06  +1.07010800e+06  +1.09656600e+06  +1.13041800e+06  +9.75056000e+05  +1.04564400e+06  +1.02729400e+06  
+1.08156900e+06  +1.14616500e+06  +1.21947400e+06  +1.14493800e+06  +1.14507500e+06  +1.15738900e+06  +1.19202600e+06  +1.05761100e+06  +1.10922700e+06  +1.11469900e+06  
+1.02401700e+06  +1.07610800e+06  +1.14999700e+06  +1.08097900e+06  +1.07620700e+06  +1.09909900e+06  +1.11331300e+06  +9.83198000e+05  +1.04570100e+06  +1.02588900e+06  
+1.07223900e+06  +1.13899500e+06  +1.18529300e+06  +1.10697900e+06  +1.12289400e+06  +1.13774100e+06  +1.16942800e+06  +1.01286800e+06  +1.07654500e+06  +1.05566800e+06  
+1.07294400e+06  +1.13583700e+06  +1.19918500e+06  +1.13442000e+06  +1.12129000e+06  +1.15924900e+06  +1.16159700e+06  +1.03159600e+06  +1.08700300e+06  +1.08099200e+06  
+1.00320500e+06  +1.06589200e+06  +1.14734900e+06  +1.06732800e+06  +1.06247900e+06  +1.07523100e+06  +1.10608800e+06  +9.70039000e+05  +1.02044400e+06  +1.00147000e+06  
+1.11488500e+06  +1.16807700e+06  +1.23291800e+06  +1.14612600e+06  +1.14740600e+06  +1.16148100e+06  +1.19767500e+06  +1.04919100e+06  +1.09425000e+06  +1.09357500e+06  
+1.02812100e+06  +1.08442100e+06  +1.15137100e+06  +1.07140100e+06  +1.07247300e+06  +1.09491300e+06  +1.11645800e+06  +9.79934000e+05  +1.04191400e+06  +1.03413200e+06  
+1.07780400e+06  +1.12958300e+06  +1.20592600e+06  +1.11381400e+06  +1.12339500e+06  +1.13148600e+06  +1.16066600e+06  +1.01405900e+06  +1.06971400e+06  +1.06546400e+06  
+1.06982500e+06  +1.12415900e+06  +1.21536500e+06  +1.12425200e+06  +1.11572600e+06  +1.12735500e+06  +1.17837700e+06  +1.01961100e+06  +1.07643100e+06  +1.07823200e+06  
+1.02313600e+06  +1.08237300e+06  +1.16116000e+06  +1.08229900e+06  +1.07791200e+06  +1.09957400e+06  +1.10850600e+06  +9.74971000e+05  +1.01396900e+06  +1.04424900e+06  
+1.11742600e+06  +1.16603200e+06  +1.23939400e+06  +1.14193000e+06  +1.16245900e+06  +1.14685900e+06  +1.18554800e+06  +1.05069400e+06  +1.09407600e+06  +1.09471800e+06  
+1.03106200e+06  +1.07882100e+06  +1.16552900e+06  +1.06691000e+06  +1.08603900e+06  +1.07357800e+06  +1.12682400e+06  +9.85519000e+05  +1.03946400e+06  +1.02705600e+06  
+1.07381800e+06  +1.14628200e+06  +1.20223600e+06  +1.12460200e+06  +1.12152000e+06  +1.13324100e+06  +1.16635600e+06  +1.02349900e+06  +1.06738600e+06  +1.07510400e+06  
+1.08856100e+06  +1.12568400e+06  +1.22784200e+06  +1.11086500e+06  +1.12733600e+06  +1.11548900e+06  +1.15324200e+06  +1.01582300e+06  +1.06673900e+06  +1.06676900e+06  
+1.04312100e+06  +1.10735600e+06  +1.16771600e+06  +1.07951600e+06  +1.08480200e+06  +1.08683700e+06  +1.14115800e+06  +9.78930000e+05  +1.03853800e+06  +1.02904700e+06  
+1.10300300e+06  +1.15251800e+06  +1.24686900e+06  +1.13854500e+06  +1.15512100e+06  +1.13958700e+06  +1.18582800e+06  +1.04841000e+06  +1.06800500e+06  +1.09671900e+06  
+1.06476700e+06  +1.11024200e+06  +1.20792200e+06  +1.08635400e+06  +1.09482500e+06  +1.10854700e+06  +1.13595000e+06  +9.92324000e+05  +1.03304500e+06  +1.03979500e+06  
+1.07401600e+06  +1.12524400e+06  +1.20337800e+06  +1.11902100e+06  +1.11394000e+06  +1.10702600e+06  +1.15030700e+06  +1.00750600e+06  +1.03047200e+06  +1.04760400e+06  
+1.09057700e+06  +1.14117000e+06  +1.23346500e+06  +1.13075900e+06  +1.16067800e+06  +1.14084700e+06  +1.16869900e+06  +1.04129200e+06  +1.07716100e+06  +1.08239100e+06  
+1.03907900e+06  +1.09884400e+06  +1.20443400e+06  +1.08457600e+06  +1.09197700e+06  +1.09541300e+06  +1.12743300e+06  +9.80295000e+05  +1.02014500e+06  +1.01664100e+06  
+1.10170400e+06  +1.15026300e+06  +1.24208300e+06  +1.14313600e+06  +1.13197400e+06  +1.14365800e+06  +1.16654200e+06  +1.02993900e+06  +1.07520300e+06  +1.06781400e+06  
+1.07338900e+06  +1.12311600e+06  +1.19903800e+06  +1.09319400e+06  +1.11832200e+06  +1.11787500e+06  +1.14428700e+06  +1.03497900e+06  +1.05902200e+06  +1.05282600e+06  
+1.05347600e+06  +1.10558100e+06  +1.19429500e+06  +1.07762800e+06  +1.08863800e+06  +1.10018100e+06  +1.11967100e+06  +9.94709000e+05  +1.03654400e+06  +1.01985900e+06  
+1.11509500e+06  +1.16962400e+06  +1.26316700e+06  +1.16818600e+06  +1.17157800e+06  +1.16092800e+06  +1.19442800e+06  +1.05810200e+06  +1.09505600e+06  +1.07759700e+06  
+1.03543100e+06  +1.08190800e+06  +1.16695800e+06  +1.06004500e+06  +1.06606600e+06  +1.07113100e+06  +1.10157700e+06  +1.00293300e+06  +1.04131100e+06  +1.00305200e+06  
+1.11166200e+06  +1.16653400e+06  +1.25112600e+06  +1.13446200e+06  +1.14319200e+06  +1.15852100e+06  +1.18064800e+06  +1.05161900e+06  +1.08148300e+06  +1.06249700e+06  
+1.07445300e+06  +1.12338200e+06  +1.22796800e+06  +1.11984800e+06  +1.13470200e+06  +1.13805300e+06  +1.15733200e+06  +1.03367900e+06  +1.07563400e+06  +1.04242000e+06  
+1.03995600e+06  +1.08361200e+06  +1.17715100e+06  +1.05763400e+06  +1.08326100e+06  +1.07600400e+06  +1.10497000e+06  +1.00633900e+06  +1.01891600e+06  +1.00669300e+06  
+1.13932600e+06  +1.17823000e+06  +1.27129700e+06  +1.16182400e+06  +1.17552800e+06  +1.18562300e+06  +1.19481300e+06  +1.07596800e+06  +1.11336900e+06  +1.08680000e+06  
+1.03916300e+06  +1.05734100e+06  +1.16333700e+06  +1.06243600e+06  +1.06981400e+06  +1.07855100e+06  +1.09957200e+06  +9.83656000e+05  +1.03450500e+06  +1.00371600e+06  
+1.10193400e+06  +1.14341600e+06  +1.26036300e+06  +1.12967000e+06  +1.14615600e+06  +1.16396000e+06  +1.15874600e+06  +1.05485500e+06  +1.08772300e+06  +1.05044200e+06  
+1.10294600e+06  +1.13830400e+06  +1.22757800e+06  +1.10573500e+06  +1.14422500e+06  +1.15772300e+06  +1.14257400e+06  +1.05844900e+06  +1.07382200e+06  +1.05227900e+06  
+1.04750100e+06  +1.07641000e+06  +1.19727400e+06  +1.05510300e+06  +1.08052100e+06  +1.09534400e+06  +1.11440300e+06  +9.99808000e+05  +1.02295300e+06  +1.00961800e+06  
+1.14030600e+06  +1.17297000e+06  +1.28127800e+06  +1.14712300e+06  +1.17802100e+06  +1.18341400e+06  +1.18194500e+06  +1.09147000e+06  +1.11715700e+06  +1.08449600e+06  
+1.04774500e+06  +1.08877800e+06  +1.18108700e+06  +1.06097000e+06  +1.09729300e+06  +1.11046300e+06  +1.09542000e+06  +1.01192800e+06  +1.02386000e+06  +1.00242100e+06  
+1.09805300e+06  +1.13461100e+06  +1.23339600e+06  +1.10843100e+06  +1.13238000e+06  +1.14597200e+06  +1.16068100e+06  +1.05263400e+06  +1.07266900e+06  +1.06720700e+06  
+1.10567500e+06  +1.13987000e+06  +1.25416900e+06  +1.12852800e+06  +1.13818700e+06  +1.14832400e+06  +1.14717500e+06  +1.07060400e+06  +1.08664900e+06  +1.05242100e+06  
+1.05904300e+06  +1.06827500e+06  +1.18611100e+06  +1.05067800e+06  +1.08526800e+06  +1.09313500e+06  +1.09123100e+06  +1.00744000e+06  +1.01338900e+06  +1.00934600e+06  
+1.13747300e+06  +1.15947800e+06  +1.26437400e+06  +1.14087000e+06  +1.17127000e+06  +1.17919600e+06  +1.19365000e+06  +1.08589900e+06  +1.10013200e+06  +1.07433900e+06  
+1.07396000e+06  +1.10857200e+06  +1.20229200e+06  +1.09831300e+06  +1.10997400e+06  +1.13814800e+06  +1.10758400e+06  +1.03916600e+06  +1.04164800e+06  +1.02114100e+06  
+1.07043800e+06  +1.08581900e+06  +1.21053000e+06  +1.07270400e+06  +1.09237400e+06  +1.11962400e+06  +1.10948900e+06  +1.02586200e+06  +1.03132100e+06  +1.02186400e+06  
+1.14036900e+06  +1.15684500e+06  +1.27075000e+06  +1.14387300e+06  +1.18270500e+06  +1.18450300e+06  +1.18184500e+06  +1.09480300e+06  +1.09437500e+06  +1.07179900e+06  
+1.04759300e+06  +1.07555900e+06  +1.17086200e+06  +1.07157000e+06  +1.07442300e+06  +1.12041000e+06  +1.07475200e+06  +1.02070200e+06  +1.00594300e+06  +9.87996000e+05  
+1.14319700e+06  +1.13919800e+06  +1.25398300e+06  +1.11775900e+06  +1.14275000e+06  +1.16361600e+06  +1.15292900e+06  +1.06900600e+06  +1.08144400e+06  +1.06480900e+06  
+1.10877500e+06  +1.12195200e+06  +1.22059200e+06  +1.10232500e+06  +1.14240900e+06  +1.15059400e+06  +1.14616800e+06  +1.07113900e+06  +1.06675000e+06  +1.03535900e+06  
+1.06004400e+06  +1.06710400e+06  +1.16366000e+06  +1.05761700e+06  +1.06693300e+06  +1.10713400e+06  +1.06721200e+06  +1.00590000e+06  +1.00458700e+06  +9.86519000e+05  
+1.15367900e+06  +1.18665400e+06  +1.28175300e+06  +1.15728400e+06  +1.17882900e+06  +1.19968600e+06  +1.18056900e+06  +1.12172100e+06  +1.12007600e+06  +1.09726300e+06  
+1.04909000e+06  +1.05996100e+06  +1.14494800e+06  +1.04737600e+06  +1.08390800e+06  +1.08708600e+06  +1.08656100e+06  +1.00741900e+06  +1.00803200e+06  +9.72907000e+05  
+1.12451600e+06  +1.14173100e+06  +1.21519600e+06  +1.12912600e+06  +1.13890600e+06  +1.16839900e+06  +1.14017800e+06  +1.08458400e+06  +1.07502000e+06  +1.04275800e+06  
+1.12283000e+06  +1.13156200e+06  +1.24047900e+06  +1.12817300e+06  +1.14586300e+06  +1.15389000e+06  +1.13180400e+06  +1.10212600e+06  +1.07471600e+06  +1.05371000e+06  
+1.05198800e+06  +1.07202800e+06  +1.13619400e+06  +1.05630400e+06  +1.08499300e+06  +1.07641400e+06  +1.06486500e+06  +1.00981700e+06  +9.95830000e+05  +9.77146000e+05  
+1.15416300e+06  +1.17923200e+06  +1.25819600e+06  +1.18733800e+06  +1.18690400e+06  +1.21028800e+06  +1.19315700e+06  +1.13470700e+06  +1.13178300e+06  +1.08651400e+06  
+1.06920100e+06  +1.08392800e+06  +1.15269400e+06  +1.05557300e+06  +1.09016900e+06  +1.09683500e+06  +1.07717600e+06  +1.03776000e+06  +1.01763300e+06  +1.00130500e+06  
+1.11839900e+06  +1.12774500e+06  +1.18884000e+06  +1.10765000e+06  +1.13813500e+06  +1.13949100e+06  +1.12928700e+06  +1.08332400e+06  +1.05884000e+06  +1.02440600e+06  
+1.13838900e+06  +1.14461000e+06  +1.21809200e+06  +1.15193500e+06  +1.16457700e+06  +1.15226100e+06  +1.15062600e+06  +1.11147900e+06  +1.08917400e+06  +1.04432300e+06  
+1.05715600e+06  +1.08104700e+06  +1.14861100e+06  +1.07587200e+06  +1.08888000e+06  +1.09067600e+06  +1.07665900e+06  +1.03576800e+06  +1.01880500e+06  +9.73236000e+05  
+1.14924600e+06  +1.17684600e+06  +1.21894900e+06  +1.16083400e+06  +1.18495200e+06  +1.17013000e+06  +1.16839600e+06  +1.12325000e+06  +1.10079200e+06  +1.06281200e+06  
+1.08007600e+06  +1.10625200e+06  +1.14987900e+06  +1.10189900e+06  +1.13167600e+06  +1.11797200e+06  +1.09462800e+06  +1.07425100e+06  +1.05285400e+06  +9.94310000e+05  
+1.10209500e+06  +1.12314600e+06  +1.17859200e+06  +1.11391700e+06  +1.12729300e+06  +1.12692400e+06  +1.10329400e+06  +1.06847600e+06  +1.04032900e+06  +1.00241200e+06  
+1.13102000e+06  +1.14909100e+06  +1.19572500e+06  +1.15444000e+06  +1.16963500e+06  +1.16447900e+06  +1.15183600e+06  +1.12109100e+06  +1.08349600e+06  +1.03997500e+06  
+1.06897800e+06  +1.08872200e+06  +1.14254500e+06  +1.08296400e+06  +1.10250000e+06  +1.10764000e+06  +1.08108800e+06  +1.05526900e+06  +1.03144900e+06  +9.80835000e+05  
+1.10994700e+06  +1.14749300e+06  +1.19684300e+06  +1.13624100e+06  +1.16736500e+06  +1.16263900e+06  +1.14733900e+06  +1.10383400e+06  +1.07088800e+06  +1.02787600e+06  
+1.10736700e+06  +1.13960300e+06  +1.16855800e+06  +1.12988900e+06  +1.14110800e+06  +1.14489400e+06  +1.12080400e+06  +1.10870200e+06  +1.06755900e+06  +1.02025600e+06  
+1.06889100e+06  +1.08551800e+06  +1.13213100e+06  +1.09780000e+06  +1.09846700e+06  +1.10625400e+06  +1.08281400e+06  +1.07634600e+06  +1.02575600e+06  +9.72263000e+05  
+1.13844400e+06  +1.17653300e+06  +1.21760100e+06  +1.15348700e+06  +1.19714700e+06  +1.19487300e+06  +1.14644200e+06  +1.14242000e+06  +1.09128000e+06  +1.04011300e+06  
+1.06808700e+06  +1.09323800e+06  +1.12354000e+06  +1.08134200e+06  +1.10178700e+06  +1.11299700e+06  +1.07086500e+06  +1.07161100e+06  +1.02357400e+06  +9.81687000e+05  
+1.10785200e+06  +1.13346400e+06  +1.17193700e+06  +1.13664300e+06  +1.14113100e+06  +1.17444200e+06  +1.12811000e+06  +1.12174300e+06  +1.07596200e+06  +1.00954200e+06  
+1.11269700e+06  +1.15996900e+06  +1.17634600e+06  +1.14036400e+06  +1.16430400e+06  +1.17002900e+06  +1.12076100e+06  +1.12734500e+06  +1.07551000e+06  +1.03541300e+06  
+1.04581300e+06  +1.08059100e+06  +1.10741300e+06  +1.07625500e+06  +1.09041400e+06  +1.10154100e+06  +1.06364800e+06  +1.06182500e+06  +1.02540200e+06  +9.78172000e+05  
+1.14086700e+06  +1.16939800e+06  +1.20509000e+06  +1.16191700e+06  +1.17217600e+06  +1.20656400e+06  +1.16663300e+06  +1.15395800e+06  +1.10284200e+06  +1.04766500e+06  
+1.04865300e+06  +1.10069400e+06  +1.12326100e+06  +1.07911200e+06  +1.10194000e+06  +1.12046900e+06  +1.05928000e+06  +1.07208500e+06  +1.02197200e+06  +9.81987000e+05  
+1.11308000e+06  +1.15443400e+06  +1.17062000e+06  +1.13663600e+06  +1.13167200e+06  +1.15688300e+06  +1.10743200e+06  +1.12008500e+06  +1.06698600e+06  +1.02787400e+06  
+1.09994400e+06  +1.13376300e+06  +1.16619100e+06  +1.12609800e+06  +1.13816000e+06  +1.17781100e+06  +1.11797400e+06  +1.13651300e+06  +1.09422000e+06  +1.02292600e+06  
