### CURVA DE EXCITACAO - BOBINA GIRANTE ###

### Dados de Configuração ###

arquivo                      C:\Users\labimas\Desktop\BQF_03_Bobina_Nova\Fonte_300A\BQF_03_Medida_01.dat
data                         05/02/2014
hora                         17:11:48
temperatura(C)               0
ganho                        100
nr_pontos_integracao         128
velocidade(rps)              1.0
aceleracao(rps^2)            0.5
nr_coletas                   1
nr_voltas                    19
intervalo_analise            2-18
sentido_de_rotacao           Horario
corrente_alimentacao_avg(A)  0.00000e+00
corrente_alimentacao_std(A)  0.00000e+00
observacoes                  OBS



### Dados de Leitura ###

n   avg_L.Nn(T/m^n-2)   avg_L.Sn(T/m^n-2)   avg_L.Bn(T/m^n-2)   std_L.Nn(T/m^n-2)   std_L.Sn(T/m^n-2)   std_L.Bn(T/m^n-2)   avg_angulo(rad)     avg_L.Nn'(T/m^n-2)  avg_L.Sn'(T/m^n-2)
-16774432	-16954492	-16340334	-16785096	-16713700	-16766622	-16916634	-16870532	-16828860	-17015186
-14575914	-14836849	-15059327	-14813446	-14988669	-15041099	-14546809	-14323234	-14772266	-14362246
-12581491	-12083576	-12195131	-11937911	-12183509	-11920498	-12411998	-12509447	-12435693	-12727163
-10126284	-10265704	-10388379	-10545169	-10521448	-10626537	-10643537	-10691931	-10075500	-10267212
-7770688	-7899145	-7882129	-7847446	-7787136	-7822380	-7602558	-7316497	-8063192	-7809189
-5885493	-5804026	-5683576	-5726575	-5327887	-5229217	-5583856	-5561558	-5433831	-5453942
-2310879	-2117797	-2383127	-2325691	-2767484	-3160363	-2440224	-3075385	-3008700	-2713030
-752475	-737166	-696170	-763372	-466841	-307375	-591137	-374175	132351	-169210
2401885	2201717	2805200	2469626	2145886	2645411	2068998	2529116	1941357	1657002
5074622	4838302	4704868	4915095	4816042	4557180	5102436	4759975	4808162	5572514
6905684	7278920	6994689	7009549	7437695	7041287	7188562	6852593	7462806	6734975
9789768	9648813	9719998	9726724	9660553	10085330	9766660	10214562	9916473	9870358
12190341	12332994	12257946	11970521	11921154	11869785	11700889	11559979	11452002	11838988
13916092	14009584	13873206	14477551	14350440	14090663	14699316	14831313	14613694	14461103
16490734	16611015	16421504	16346012	16167092	16469610	16183689	16013262	16506437	16331750
18213940	17733534	18162492	17941508	18464752	18052602	18055756	18041024	17815202	18067056
19989172	20226002	20070904	20439580	20093950	20093482	20099046	20439042	20106782	20483858
21574066	21558282	21655532	21209840	21178268	21626916	21561474	21178892	21644952	21208868
22845992	22810944	22798420	22947376	22880430	23024246	22901560	22972894	22926696	22911984
24220270	24257354	24145220	24324864	24338240	23996694	24230454	24245884	23921200	24031260
24851756	24778384	24881838	24708194	24772988	24904600	24813962	24873128	24947564	24940966
25867540	25931164	25943644	25946176	25873998	25824594	25863844	25839304	25939520	25886612
25964786	25974044	26020096	25987594	25925886	25924266	26029278	25989172	25943220	25980380
26333496	26401080	26354854	26346416	26340194	26394784	26349510	26366680	26391852	26357698
26192140	26145344	26114196	26146072	26148776	26143108	26093256	26114202	26142452	26123112
25919286	25887848	25922956	25843278	25881910	25971288	25988696	25989552	25985266	25973042
25115098	25228416	25314036	25275598	25246874	25077330	25223604	25239984	25013554	25024538
24463524	24495224	24422782	24500758	24408508	24634422	24536380	24469754	24547866	24590042
23255730	23215508	23090796	23136706	23241350	22925504	22908752	23075760	23188134	23077362
21979818	21997494	22015228	22091918	22023032	22137218	22277328	22427632	22101064	22237332
20518994	20532988	20597586	20560082	20360740	20486576	20432198	20272624	20219118	20452838
18670734	18772132	18629122	18829466	19047388	18992758	18679562	18942422	18976838	18521526
16932700	16877780	16997074	16560475	16899898	16634158	17060288	16531638	16989710	17294606
