# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:22:31 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 115  bend3   28.58  -1000.000  1000.000  1000.000
 116  bend3   28.76  -1000.000  1000.000  1000.000
 117  bend3   28.93  -1000.000  1000.000  1000.000
 118  bend3   29.11  -1000.000  1000.000  1000.000
 119  bend4   29.29  -1000.000  1000.000  1000.000
 120  sd7     29.73  -1000.000  1000.000  1000.000
 121  qp9     29.89  -1000.000  1000.000  1000.000
 122  qp9     30.05  -1000.000  1000.000  1000.000
 123  sd8     30.25  -1000.000  1000.000  1000.000
 124  sx9     30.25  -1000.000  1000.000  1000.000
 125  sd9     30.72  -1000.000  1000.000  1000.000
 126  qp10    30.88  -1000.000  1000.000  1000.000
 127  qp10    31.04  -1000.000  1000.000  1000.000
 128  sd8     31.24  -1000.000  1000.000  1000.000
 129  sx10    31.24  -1000.000  1000.000  1000.000
 130  sdac1   32.25  -1000.000  1000.000  1000.000
 131  ssdac   32.25  -1000.000  1000.000  1000.000
 132  sdac2   32.45  -1000.000  1000.000  1000.000
 133  sdac2   32.65  -1000.000  1000.000  1000.000
 134  sdac2   32.85  -1000.000  1000.000  1000.000
 135  sdac2   33.05  -1000.000  1000.000  1000.000
 136  sdac2   33.25  -1000.000  1000.000  1000.000
 137  sdac2   33.45  -1000.000  1000.000  1000.000
 138  sdac2   33.65  -1000.000  1000.000  1000.000
 139  sdac2   33.85  -1000.000  1000.000  1000.000
 140  sdac2   34.05  -1000.000  1000.000  1000.000
 141  esdac   34.05  -1000.000  1000.000  1000.000
 142  sdac1   35.05  -1000.000  1000.000  1000.000
 143  sx10    35.05  -1000.000  1000.000  1000.000
 144  sd8     35.25  -1000.000  1000.000  1000.000
 145  qp10    35.41  -1000.000  1000.000  1000.000
 146  qp10    35.57  -1000.000  1000.000  1000.000
 147  sd9     36.05  -1000.000  1000.000  1000.000
 148  sx9     36.05  -1000.000  1000.000  1000.000
 149  sd8     36.25  -1000.000  1000.000  1000.000
 150  qp9     36.41  -1000.000  1000.000  1000.000
 151  qp9     36.57  -1000.000  1000.000  1000.000
 152  sd7     37.01  -1000.000  1000.000  1000.000
 153  bend2   37.18  -1000.000  1000.000  1000.000
 154  bend3   37.36  -1000.000  1000.000  1000.000
 155  bend3   37.53  -1000.000  1000.000  1000.000
 156  bend3   37.71  -1000.000  1000.000  1000.000
 157  bend3   37.88  -1000.000  1000.000  1000.000
 158  bend4   38.06  -1000.000  1000.000  1000.000
 159  sd7     38.50  -1000.000  1000.000  1000.000
 160  qp6     38.66  -1000.000  1000.000  1000.000
 161  qp6     38.82  -1000.000  1000.000  1000.000
 162  sd5     39.02  -1000.000  1000.000  1000.000
 163  sx7     39.02  -1000.000  1000.000  1000.000
 164  sd4     39.41  -1000.000  1000.000  1000.000
 165  qp7     39.64  -1000.000  1000.000  1000.000
 166  qp7     39.87  -1000.000  1000.000  1000.000
 167  sd3     40.07  -1000.000  1000.000  1000.000
 168  sx8     40.07  -1000.000  1000.000  1000.000
 169  sd2     40.46  -1000.000  1000.000  1000.000
 170  qp8     40.62  -1000.000  1000.000  1000.000
 171  qp8     40.78  -1000.000  1000.000  1000.000
 172  sd13c   41.51  -1000.000  1000.000  1000.000
 173  sd13a   41.71  -1000.000  1000.000  1000.000
 174  sd13a   41.91  -1000.000  1000.000  1000.000
 175  sd13a   42.11  -1000.000  1000.000  1000.000
 176  sd13a   42.31  -1000.000  1000.000  1000.000
 177  sd13a   42.51  -1000.000  1000.000  1000.000
 178  sd13a   42.71  -1000.000  1000.000  1000.000
 179  sd13a   42.91  -1000.000  1000.000  1000.000
 180  sd13a   43.11  -1000.000  1000.000  1000.000
 181  sd13a   43.31  -1000.000  1000.000  1000.000
 182  sd13a   43.51  -1000.000  1000.000  1000.000
 183  sd13a   43.71  -1000.000  1000.000  1000.000
 184  sd13a   43.91  -1000.000  1000.000  1000.000
 185  sd13a   44.11  -1000.000  1000.000  1000.000
 186  sd13b   44.26  -1000.000  1000.000  1000.000
 187  sd13b   44.41  -1000.000  1000.000  1000.000
 188  sd13a   44.61  -1000.000  1000.000  1000.000
 189  sd13a   44.81  -1000.000  1000.000  1000.000
 190  sd13a   45.01  -1000.000  1000.000  1000.000
 191  sd13a   45.21  -1000.000  1000.000  1000.000
 192  sd13a   45.41  -1000.000  1000.000  1000.000
 193  sd13a   45.61  -1000.000  1000.000  1000.000
 194  sd13a   45.81  -1000.000  1000.000  1000.000
 195  sd13a   46.01  -1000.000  1000.000  1000.000
 196  sd13a   46.21  -1000.000  1000.000  1000.000
 197  sd13a   46.41  -1000.000  1000.000  1000.000
 198  sd13a   46.61  -1000.000  1000.000  1000.000
 199  sd13a   46.81  -1000.000  1000.000  1000.000
 200  sd13a   47.01  -1000.000  1000.000  1000.000
 201  sd13c   47.74  -1000.000  1000.000  1000.000
 202  qp8     47.90  -1000.000  1000.000  1000.000
 203  qp8     48.06  -1000.000  1000.000  1000.000
 204  sd2     48.45  -1000.000  1000.000  1000.000
 205  sx8     48.45  -1000.000  1000.000  1000.000
 206  sd3     48.65  -1000.000  1000.000  1000.000
 207  qp7     48.88  -1000.000  1000.000  1000.000
 208  qp7     49.11  -1000.000  1000.000  1000.000
 209  sd4     49.50  -1000.000  1000.000  1000.000
 210  sx7     49.50  -1000.000  1000.000  1000.000
 211  sd5     49.70  -1000.000  1000.000  1000.000
 212  qp6     49.86  -1000.000  1000.000  1000.000
 213  qp6     50.02  -1000.000  1000.000  1000.000
 214  sd7     50.46  -1000.000  1000.000  1000.000
 215  bend2   50.64  -1000.000  1000.000  1000.000
 216  bend3   50.82  -1000.000  1000.000  1000.000
 217  bend3   50.99  -1000.000  1000.000  1000.000
 218  bend3   51.17  -1000.000  1000.000  1000.000
 219  bend3   51.34  -1000.000  1000.000  1000.000
 220  bend4   51.52  -1000.000  1000.000  1000.000
 221  sd7     51.96  -1000.000  1000.000  1000.000
 222  qp9     52.12  -1000.000  1000.000  1000.000
 223  qp9     52.28  -1000.000  1000.000  1000.000
 224  sd8     52.48  -1000.000  1000.000  1000.000
 225  sx9     52.48  -1000.000  1000.000  1000.000
 226  sd9     52.95  -1000.000  1000.000  1000.000
 227  qp10    53.11  -1000.000  1000.000  1000.000
 228  qp10    53.27  -1000.000  1000.000  1000.000
 229  sd8     53.47  -1000.000  1000.000  1000.000
 230  sx10    53.47  -1000.000  1000.000  1000.000
 231  sdac    55.38  -1000.000  1000.000  1000.000
 232  sdac    57.28  -1000.000  1000.000  1000.000
 233  sx10    57.28  -1000.000  1000.000  1000.000
 234  sd8     57.48  -1000.000  1000.000  1000.000
 235  qp10    57.64  -1000.000  1000.000  1000.000
 236  qp10    57.80  -1000.000  1000.000  1000.000
 237  sd9     58.28  -1000.000  1000.000  1000.000
 238  sx9     58.28  -1000.000  1000.000  1000.000
 239  sd8     58.48  -1000.000  1000.000  1000.000
 240  qp9     58.64  -1000.000  1000.000  1000.000
 241  qp9     58.80  -1000.000  1000.000  1000.000
 242  sd7     59.24  -1000.000  1000.000  1000.000
 243  bend2   59.41  -1000.000  1000.000  1000.000
 244  bend3   59.59  -1000.000  1000.000  1000.000
 245  bend3   59.77  -1000.000  1000.000  1000.000
 246  bend3   59.94  -1000.000  1000.000  1000.000
 247  bend3   60.12  -1000.000  1000.000  1000.000
 248  bend4   60.29  -1000.000  1000.000  1000.000
 249  sd7     60.73  -1000.000  1000.000  1000.000
 250  qp6     60.89  -1000.000  1000.000  1000.000
 251  qp6     61.05  -1000.000  1000.000  1000.000
 252  sd5     61.25  -1000.000  1000.000  1000.000
 253  sx7     61.25  -1000.000  1000.000  1000.000
 254  sd4     61.64  -1000.000  1000.000  1000.000
 255  qp7     61.87  -1000.000  1000.000  1000.000
 256  qp7     62.10  -1000.000  1000.000  1000.000
 257  sd3     62.30  -1000.000  1000.000  1000.000
 258  sx8     62.30  -1000.000  1000.000  1000.000
 259  sd2     62.69  -1000.000  1000.000  1000.000
 260  qp8     62.85  -1000.000  1000.000  1000.000
 261  qp8     63.01  -1000.000  1000.000  1000.000
 262  sd13    66.49  -1000.000  1000.000  1000.000
 263  sd13    69.98  -1000.000  1000.000  1000.000
 264  qp8     70.14  -1000.000  1000.000  1000.000
 265  qp8     70.30  -1000.000  1000.000  1000.000
 266  sd2     70.69  -1000.000  1000.000  1000.000
 267  sx6     70.69  -1000.000  1000.000  1000.000
 268  sd3     70.89  -1000.000  1000.000  1000.000
 269  qp7     71.12  -1000.000  1000.000  1000.000
 270  qp7     71.35  -1000.000  1000.000  1000.000
 271  sd4     71.74  -1000.000  1000.000  1000.000
 272  sx5     71.74  -1000.000  1000.000  1000.000
 273  sd5     71.94  -1000.000  1000.000  1000.000
 274  qp6     72.10  -1000.000  1000.000  1000.000
 275  qp6     72.26  -1000.000  1000.000  1000.000
 276  sd7     72.70  -1000.000  1000.000  1000.000
 277  bend2   72.87  -1000.000  1000.000  1000.000
 278  bend3   73.05  -1000.000  1000.000  1000.000
 279  bend3   73.22  -1000.000  1000.000  1000.000
 280  bend3   73.40  -1000.000  1000.000  1000.000
 281  bend3   73.57  -1000.000  1000.000  1000.000
 282  bend4   73.75  -1000.000  1000.000  1000.000
 283  sd7     74.19  -1000.000  1000.000  1000.000
 284  qp4     74.35  -1000.000  1000.000  1000.000
 285  qp4     74.51  -1000.000  1000.000  1000.000
 286  sd8     74.71  -1000.000  1000.000  1000.000
 287  sx3     74.71  -1000.000  1000.000  1000.000
 288  sd9     75.19  -1000.000  1000.000  1000.000
 289  qp5     75.35  -1000.000  1000.000  1000.000
 290  qp5     75.51  -1000.000  1000.000  1000.000
 291  sd10    75.98  -1000.000  1000.000  1000.000
 292  sx4     75.98  -1000.000  1000.000  1000.000
 293  sd12    76.45  -1000.000  1000.000  1000.000
 294  qp5     76.61  -1000.000  1000.000  1000.000
 295  qp5     76.77  -1000.000  1000.000  1000.000
 296  sd9     77.24  -1000.000  1000.000  1000.000
 297  sx3     77.24  -1000.000  1000.000  1000.000
 298  sd8     77.44  -1000.000  1000.000  1000.000
 299  qp4     77.60  -1000.000  1000.000  1000.000
 300  qp4     77.76  -1000.000  1000.000  1000.000
 301  sd7     78.20  -1000.000  1000.000  1000.000
 302  bend2   78.38  -1000.000  1000.000  1000.000
 303  bend3   78.55  -1000.000  1000.000  1000.000
 304  bend3   78.73  -1000.000  1000.000  1000.000
 305  bend3   78.90  -1000.000  1000.000  1000.000
 306  bend3   79.08  -1000.000  1000.000  1000.000
 307  bend4   79.25  -1000.000  1000.000  1000.000
 308  sd6     80.04  -1000.000  1000.000  1000.000
 309  sx2     80.04  -1000.000  1000.000  1000.000
 310  sd5     80.24  -1000.000  1000.000  1000.000
 311  qp3     80.40  -1000.000  1000.000  1000.000
 312  qp3     80.56  -1000.000  1000.000  1000.000
 313  sd14    81.15  -1000.000  1000.000  1000.000
 314  qp2     81.38  -1000.000  1000.000  1000.000
 315  qp2     81.61  -1000.000  1000.000  1000.000
 316  sd3     81.81  -1000.000  1000.000  1000.000
 317  sx1     81.81  -1000.000  1000.000  1000.000
 318  sd2     82.20  -1000.000  1000.000  1000.000
 319  qp1     82.36  -1000.000  1000.000  1000.000
 320  qp1     82.52  -1000.000  1000.000  1000.000
 321  sd1     88.52  -1000.000  1000.000  1000.000
 322  sd1     94.52  -1000.000  1000.000  1000.000
 323  qp1     94.68  -1000.000  1000.000  1000.000
 324  qp1     94.84  -1000.000  1000.000  1000.000
 325  sd2     95.23  -1000.000  1000.000  1000.000
 326  sx1     95.23  -1000.000  1000.000  1000.000
 327  sd3     95.43  -1000.000  1000.000  1000.000
 328  qp2     95.66  -1000.000  1000.000  1000.000
 329  qp2     95.89  -1000.000  1000.000  1000.000
 330  sd14    96.48  -1000.000  1000.000  1000.000
 331  qp3     96.64  -1000.000  1000.000  1000.000
 332  qp3     96.80  -1000.000  1000.000  1000.000
 333  sd5     97.00  -1000.000  1000.000  1000.000
 334  sx2     97.00  -1000.000  1000.000  1000.000
 335  sd6     97.79  -1000.000  1000.000  1000.000
 336  bend2   97.97  -1000.000  1000.000  1000.000
 337  bend3   98.14  -1000.000  1000.000  1000.000
 338  bend3   98.32  -1000.000  1000.000  1000.000
 339  bend3   98.50  -1000.000  1000.000  1000.000
 340  bend3   98.67  -1000.000  1000.000  1000.000
 341  bend4   98.85  -1000.000  1000.000  1000.000
 342  sd7     99.29  -1000.000  1000.000  1000.000
 343  qp4     99.45  -1000.000  1000.000  1000.000
 344  qp4     99.61  -1000.000  1000.000  1000.000
 345  sd8     99.81  -1000.000  1000.000  1000.000
 346  sx3     99.81  -1000.000  1000.000  1000.000
 347  sd9    100.28  -1000.000  1000.000  1000.000
 348  qp5    100.44  -1000.000  1000.000  1000.000
 349  qp5    100.60  -1000.000  1000.000  1000.000
 350  sd12   101.07  -1000.000  1000.000  1000.000
 351  sx4    101.07  -1000.000  1000.000  1000.000
 352  sd10   101.54  -1000.000  1000.000  1000.000
 353  qp5    101.70  -1000.000  1000.000  1000.000
 354  qp5    101.86  -1000.000  1000.000  1000.000
 355  sd9    102.34  -1000.000  1000.000  1000.000
 356  sx3    102.34  -1000.000  1000.000  1000.000
 357  sd8    102.54  -1000.000  1000.000  1000.000
 358  qp4    102.70  -1000.000  1000.000  1000.000
 359  qp4    102.86  -1000.000  1000.000  1000.000
 360  sd7    103.30  -1000.000  1000.000  1000.000
 361  bend2  103.47  -1000.000  1000.000  1000.000
 362  bend3  103.65  -1000.000  1000.000  1000.000
 363  bend3  103.83  -1000.000  1000.000  1000.000
 364  bend3  104.00  -1000.000  1000.000  1000.000
 365  bend3  104.18  -1000.000  1000.000  1000.000
 366  bend4  104.35  -1000.000  1000.000  1000.000
 367  sd7    104.79  -1000.000  1000.000  1000.000
 368  qp6    104.95  -1000.000  1000.000  1000.000
 369  qp6    105.11  -1000.000  1000.000  1000.000
 370  sd5    105.31  -1000.000  1000.000  1000.000
