# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Mon Feb 16 09:22:32 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
  53:bend3           15.65  -1.308  1.008  0.910  0.022  0.056   0.816 14.813  0.247   7.241e-03  -3.191e-04
  54:bend4           15.83  -1.797  1.547  0.932  0.035  0.089   1.063 14.530  0.248   7.185e-03  -4.511e-04
  55:sd7             16.27  -2.996  3.657  0.962  0.074  0.089   0.999 13.622  0.253   6.987e-03  -4.511e-04
  56:qp6             16.43  -4.281  4.810  0.968  0.090  0.104   3.311 12.926  0.255   6.817e-03  -1.670e-03
  57:qp6             16.59  -6.060  6.449  0.972  0.108  0.122   5.247 11.544  0.257   6.455e-03  -2.837e-03
  58:sd5             16.79  -7.230  9.107  0.976  0.132  0.122   4.753  9.544  0.260   5.888e-03  -2.837e-03
  59:sx5             16.79  -7.230  9.107  0.976  0.132  0.122   4.753  9.544  0.260   5.888e-03  -2.837e-03
  60:sd4             17.18  -9.510 15.635  0.982  0.180  0.122   3.789  6.212  0.268   4.781e-03  -2.837e-03
  61:qp7             17.41  -1.244 18.210  0.984  0.197  0.025   0.678  5.223  0.275   4.409e-03  -4.335e-04
  62:qp7             17.64   7.584 16.692  0.986  0.191 -0.075  -2.102  5.538  0.282   4.578e-03   1.921e-03
  63:sd3             17.84   6.883 13.799  0.988  0.176 -0.075  -2.298  6.418  0.287   4.962e-03   1.921e-03
  64:sx6             17.84   6.883 13.799  0.988  0.176 -0.075  -2.298  6.418  0.287   4.962e-03   1.921e-03
  65:sd2             18.23   5.516  8.963  0.993  0.147 -0.075  -2.678  8.359  0.296   5.712e-03   1.921e-03
  66:qp8             18.39   2.914  7.634  0.997  0.138 -0.036  -0.389  8.857  0.298   5.885e-03   2.433e-04
  67:qp8             18.55   0.827  7.044  1.000  0.135  0.001   1.967  8.601  0.301   5.789e-03  -1.441e-03
  68:sd13c           19.28   0.653  5.960  1.018  0.135  0.001   1.553  6.022  0.317   4.733e-03  -1.441e-03
  69:ssdm            19.28   0.653  5.960  1.018  0.135  0.001   1.553  6.022  0.317   4.733e-03  -1.441e-03
  70:sd13a           19.48   0.606  5.708  1.023  0.136  0.001   1.441  5.423  0.323   4.445e-03  -1.441e-03
  71:sd13a           19.68   0.558  5.475  1.029  0.136  0.001   1.328  4.869  0.329   4.157e-03  -1.441e-03
  72:sd13a           19.88   0.511  5.262  1.035  0.136  0.001   1.215  4.361  0.336   3.868e-03  -1.441e-03
  73:sd13a           20.08   0.463  5.067  1.041  0.136  0.001   1.102  3.898  0.344   3.580e-03  -1.441e-03
  74:sd13a           20.28   0.416  4.891  1.047  0.136  0.001   0.989  3.480  0.352   3.292e-03  -1.441e-03
  75:sd13a           20.48   0.368  4.734  1.054  0.136  0.001   0.876  3.107  0.362   3.004e-03  -1.441e-03
  76:sd13a           20.68   0.321  4.597  1.061  0.136  0.001   0.763  2.779  0.373   2.715e-03  -1.441e-03
  77:sd13a           20.88   0.273  4.478  1.068  0.137  0.001   0.650  2.497  0.385   2.427e-03  -1.441e-03
  78:sd13a           21.08   0.226  4.378  1.075  0.137  0.001   0.537  2.259  0.398   2.139e-03  -1.441e-03
  79:sd13a           21.28   0.178  4.297  1.082  0.137  0.001   0.424  2.067  0.413   1.850e-03  -1.441e-03
  80:sd13a           21.48   0.131  4.236  1.090  0.137  0.001   0.311  1.920  0.429   1.562e-03  -1.441e-03
  81:sd13a           21.68   0.083  4.193  1.097  0.137  0.001   0.198  1.819  0.446   1.274e-03  -1.441e-03
  82:sd13a           21.88   0.036  4.169  1.105  0.137  0.001   0.085  1.762  0.463   9.855e-04  -1.441e-03
  83:sd13b           22.03   0.000  4.164  1.110  0.137  0.001  -0.000  1.750  0.477   7.693e-04  -1.441e-03
  84:sd13b           22.18  -0.035  4.169  1.116  0.137  0.001  -0.085  1.762  0.490   5.530e-04  -1.441e-03
  85:sd13a           22.38  -0.083  4.193  1.124  0.138  0.001  -0.198  1.819  0.508   2.648e-04  -1.441e-03
  86:sd13a           22.58  -0.130  4.235  1.131  0.138  0.001  -0.311  1.921  0.525  -2.354e-05  -1.441e-03
  87:sd13a           22.78  -0.178  4.297  1.139  0.138  0.001  -0.424  2.067  0.541  -3.118e-04  -1.441e-03
  88:sd13a           22.98  -0.225  4.377  1.146  0.138  0.001  -0.537  2.259  0.556  -6.001e-04  -1.441e-03
  89:sd13a           23.18  -0.273  4.477  1.153  0.138  0.001  -0.650  2.497  0.569  -8.884e-04  -1.441e-03
  90:sd13a           23.38  -0.320  4.596  1.160  0.138  0.001  -0.763  2.779  0.581  -1.177e-03  -1.441e-03
  91:sd13a           23.58  -0.368  4.733  1.167  0.138  0.001  -0.876  3.107  0.592  -1.465e-03  -1.441e-03
  92:sd13a           23.78  -0.415  4.890  1.173  0.138  0.001  -0.989  3.480  0.601  -1.753e-03  -1.441e-03
  93:sd13a           23.98  -0.463  5.066  1.180  0.139  0.001  -1.102  3.898  0.610  -2.042e-03  -1.441e-03
  94:sd13a           24.18  -0.510  5.260  1.186  0.139  0.001  -1.215  4.361  0.618  -2.330e-03  -1.441e-03
  95:sd13a           24.38  -0.558  5.474  1.192  0.139  0.001  -1.328  4.869  0.625  -2.618e-03  -1.441e-03
  96:sd13a           24.58  -0.605  5.706  1.197  0.139  0.001  -1.441  5.423  0.631  -2.906e-03  -1.441e-03
  97:sd13a           24.78  -0.653  5.958  1.203  0.139  0.001  -1.554  6.022  0.636  -3.195e-03  -1.441e-03
  98:esdm            24.78  -0.653  5.958  1.203  0.139  0.001  -1.554  6.022  0.636  -3.195e-03  -1.441e-03
  99:eesdm           24.78  -0.653  5.958  1.203  0.139  0.001  -1.554  6.022  0.636  -3.195e-03  -1.441e-03
 100:sd13c           25.51  -0.827  7.041  1.221  0.140  0.001  -1.967  8.601  0.652  -4.251e-03  -1.441e-03
 101:qp8             25.67  -2.913  7.631  1.224  0.143  0.039   0.389  8.857  0.655  -4.393e-03  -3.347e-04
 102:qp8             25.83  -5.514  8.960  1.227  0.152  0.079   2.679  8.359  0.658  -4.357e-03   7.833e-04
 103:sd2             26.22  -6.881 13.794  1.233  0.183  0.079   2.298  6.419  0.667  -4.052e-03   7.833e-04
 104:sx8             26.22  -6.881 13.794  1.233  0.183  0.079   2.298  6.419  0.667  -4.052e-03   7.833e-04
 105:sd3             26.42  -7.582 16.687  1.235  0.199  0.079   2.102  5.539  0.672  -3.895e-03   7.833e-04
 106:qp7             26.65   1.243 18.205  1.237  0.205 -0.025  -0.678  5.223  0.679  -3.945e-03  -1.219e-03
 107:qp7             26.88   9.507 15.631  1.239  0.187 -0.126  -3.788  6.212  0.685  -4.467e-03  -3.364e-03
 108:sd4             27.27   7.227  9.104  1.244  0.138 -0.126  -4.751  9.542  0.693  -5.779e-03  -3.364e-03
 109:sx7             27.27   7.227  9.104  1.244  0.138 -0.126  -4.751  9.542  0.693  -5.779e-03  -3.364e-03
 110:sd5             27.47   6.058  6.447  1.248  0.113 -0.126  -5.245 11.541  0.696  -6.452e-03  -3.364e-03
 111:qp6             27.63   4.279  4.809  1.253  0.094 -0.108  -3.309 12.923  0.698  -6.896e-03  -2.175e-03
 112:qp6             27.79   2.995  3.656  1.259  0.079 -0.092  -0.998 13.619  0.700  -7.144e-03  -9.218e-04
 113:sd7             28.23   1.797  1.548  1.289  0.038 -0.092  -1.062 14.526  0.705  -7.550e-03  -9.218e-04
 114:bend2           28.41   1.308  1.008  1.311  0.025 -0.059  -0.815 14.808  0.707  -7.687e-03  -7.831e-04
 115:bend3           28.58   0.842  0.631  1.346  0.017 -0.026  -0.834 15.097  0.709  -7.825e-03  -7.831e-04
 116:bend3           28.76   0.372  0.418  1.401  0.016  0.006  -0.854 15.393  0.711  -7.962e-03  -7.831e-04
 117:bend3           28.93  -0.099  0.370  1.474  0.020  0.039  -0.874 15.696  0.713  -8.099e-03  -7.831e-04
 118:bend3           29.11  -0.569  0.487  1.542  0.029  0.072  -0.893 16.006  0.714  -8.237e-03  -7.831e-04
 119:bend4           29.29  -1.052  0.769  1.588  0.045  0.105  -0.613 16.323  0.716  -8.374e-03  -6.292e-04
