# TRACY II v. SYNCHROTRON SOLEIL -- fmapdp.out -- Mon Feb 16 09:27:05 2004 
# nu = f(x) 
#    dp[m]         x[m]           fx            fz           dfx           dfz
-6.000000e-02  1.594361e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.607375e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.620285e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.633093e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.645801e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.658412e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.670928e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.683351e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.695682e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.707925e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.720081e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.732151e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.744137e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.756042e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.767867e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.779613e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.791282e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.802876e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.814395e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.825842e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.837217e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.848523e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.859759e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
