# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:27:02 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 129  sx10    31.24  -35.000   35.000   12.500
 130  sdac1   32.25  -35.000   35.000   12.500
 131  ssdac   32.25  -35.000   35.000    2.500
 132  sdac2   32.45  -35.000   35.000    2.500
 133  sdac2   32.65  -35.000   35.000    2.500
 134  sdac2   32.85  -35.000   35.000    2.500
 135  sdac2   33.05  -35.000   35.000    2.500
 136  sdac2   33.25  -35.000   35.000    2.500
 137  sdac2   33.45  -35.000   35.000    2.500
 138  sdac2   33.65  -35.000   35.000    2.500
 139  sdac2   33.85  -35.000   35.000    2.500
 140  sdac2   34.05  -35.000   35.000    2.500
 141  esdac   34.05  -35.000   35.000   12.500
 142  sdac1   35.05  -35.000   35.000   12.500
 143  sx10    35.05  -35.000   35.000   12.500
 144  sd8     35.25  -35.000   35.000   12.500
 145  qp10    35.41  -35.000   35.000   12.500
 146  qp10    35.57  -35.000   35.000   12.500
 147  sd9     36.05  -35.000   35.000   12.500
 148  sx9     36.05  -35.000   35.000   12.500
 149  sd8     36.25  -35.000   35.000   12.500
 150  qp9     36.41  -35.000   35.000   12.500
 151  qp9     36.57  -35.000   35.000   12.500
 152  sd7     37.01  -35.000   35.000   12.500
 153  bend2   37.18  -35.000   35.000   12.500
 154  bend3   37.36  -35.000   35.000   12.500
 155  bend3   37.53  -35.000   35.000   12.500
 156  bend3   37.71  -35.000   35.000   12.500
 157  bend3   37.88  -35.000   35.000   12.500
 158  bend4   38.06  -35.000   35.000   12.500
 159  sd7     38.50  -35.000   35.000   12.500
 160  qp6     38.66  -35.000   35.000   12.500
 161  qp6     38.82  -35.000   35.000   12.500
 162  sd5     39.02  -35.000   35.000   12.500
 163  sx7     39.02  -35.000   35.000   12.500
 164  sd4     39.41  -35.000   35.000   12.500
 165  qp7     39.64  -35.000   35.000   12.500
 166  qp7     39.87  -35.000   35.000   12.500
 167  sd3     40.07  -35.000   35.000   12.500
 168  sx8     40.07  -35.000   35.000   12.500
 169  sd2     40.46  -35.000   35.000   12.500
 170  qp8     40.62  -35.000   35.000   12.500
 171  qp8     40.78  -35.000   35.000   12.500
 172  sd13c   41.51  -35.000   35.000   12.500
 173  sd13a   41.71  -35.000   35.000   12.500
 174  sd13a   41.91  -35.000   35.000   12.500
 175  sd13a   42.11  -35.000   35.000   12.500
 176  sd13a   42.31  -35.000   35.000   12.500
 177  sd13a   42.51  -35.000   35.000   12.500
 178  sd13a   42.71  -35.000   35.000   12.500
 179  sd13a   42.91  -35.000   35.000   12.500
 180  sd13a   43.11  -35.000   35.000   12.500
 181  sd13a   43.31  -35.000   35.000   12.500
 182  sd13a   43.51  -35.000   35.000   12.500
 183  sd13a   43.71  -35.000   35.000   12.500
 184  sd13a   43.91  -35.000   35.000   12.500
 185  sd13a   44.11  -35.000   35.000   12.500
