# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
1.6000000000000003e+00 +9.0448683024005501e+00 +0.0000000000000000e+00 +1.5999999927732251e+00 -1.6462203134800927e-04 +0.0000000000000000e+00 +9.9999998644979338e-01
1.7000000000000004e+00 +9.0448513257532905e+00 +0.0000000000000000e+00 +1.6999999913317514e+00 -1.7491091392976863e-04 +0.0000000000000000e+00 +9.9999998470308604e-01
1.8000000000000005e+00 +9.0448333202177427e+00 +0.0000000000000000e+00 +1.7999999897103138e+00 -1.8519979712610933e-04 +0.0000000000000000e+00 +9.9999998285051750e-01
1.9000000000000006e+00 +9.0448142857938443e+00 +0.0000000000000000e+00 +1.8999999878983262e+00 -1.9548868095980556e-04 +0.0000000000000000e+00 +9.9999998089208775e-01
2.0000000000000004e+00 +9.0447942224815296e+00 +0.0000000000000000e+00 +1.9999999858852027e+00 -2.0577756545363230e-04 +0.0000000000000000e+00 +9.9999997882779668e-01
2.1000000000000005e+00 +9.0447731302807401e+00 +0.0000000000000000e+00 +2.0999999836603571e+00 -2.1606645038322624e-04 +0.0000000000000000e+00 +9.9999997665764440e-01
2.2000000000000006e+00 +9.0447510091914474e+00 +0.0000000000000000e+00 +2.1999999812132032e+00 -2.2635533552415915e-04 +0.0000000000000000e+00 +9.9999997438163091e-01
2.3000000000000007e+00 +9.0447278592136282e+00 +0.0000000000000000e+00 +2.2999999785331546e+00 -2.3664422089910458e-04 +0.0000000000000000e+00 +9.9999997199975621e-01
2.4000000000000008e+00 +9.0447036803472596e+00 +0.0000000000000000e+00 +2.3999999756096257e+00 -2.4693310653072978e-04 +0.0000000000000000e+00 +9.9999996951202019e-01
2.5000000000000009e+00 +9.0446784725923131e+00 +0.0000000000000000e+00 +2.4999999724320299e+00 -2.5722199244169585e-04 +0.0000000000000000e+00 +9.9999996691842297e-01
2.6000000000000010e+00 +9.0446522359487602e+00 +0.0000000000000000e+00 +2.5999999689897813e+00 -2.6751087865465749e-04 +0.0000000000000000e+00 +9.9999996421896442e-01
2.7000000000000011e+00 +9.0446249704165709e+00 +0.0000000000000000e+00 +2.6999999652722937e+00 -2.7779976519226325e-04 +0.0000000000000000e+00 +9.9999996141364467e-01
2.8000000000000012e+00 +9.0445966759957113e+00 +0.0000000000000000e+00 +2.7999999612689814e+00 -2.8808865207715544e-04 +0.0000000000000000e+00 +9.9999995850246359e-01
2.9000000000000012e+00 +9.0445673526861441e+00 +0.0000000000000000e+00 +2.8999999569692578e+00 -2.9837753933197010e-04 +0.0000000000000000e+00 +9.9999995548542120e-01
3.0000000000000013e+00 +9.0445370004878320e+00 +0.0000000000000000e+00 +2.9999999523625371e+00 -3.0866642697933695e-04 +0.0000000000000000e+00 +9.9999995236251749e-01
3.1000000000000014e+00 +9.0445056194007467e+00 +0.0000000000000000e+00 +3.0999999474382327e+00 -3.1895531467124175e-04 +0.0000000000000000e+00 +9.9999994913375256e-01
3.2000000000000015e+00 +9.0444732094249076e+00 +0.0000000000000000e+00 +3.1999999421857588e+00 -3.2924420205968888e-04 +0.0000000000000000e+00 +9.9999994579912643e-01
3.3000000000000016e+00 +9.0444397705603432e+00 +0.0000000000000000e+00 +3.2999999365945292e+00 -3.3953308916732884e-04 +0.0000000000000000e+00 +9.9999994235863920e-01
3.4000000000000017e+00 +9.0444053028070819e+00 +0.0000000000000000e+00 +3.3999999306539577e+00 -3.4982197601680779e-04 +0.0000000000000000e+00 +9.9999993881229088e-01
3.5000000000000018e+00 +9.0443698061651485e+00 +0.0000000000000000e+00 +3.4999999243534585e+00 -3.6011086263076746e-04 +0.0000000000000000e+00 +9.9999993516008145e-01
3.6000000000000019e+00 +9.0443332806345644e+00 +0.0000000000000000e+00 +3.5999999176824451e+00 -3.7039974903184516e-04 +0.0000000000000000e+00 +9.9999993140201082e-01
3.7000000000000020e+00 +9.0442957262153492e+00 +0.0000000000000000e+00 +3.6999999106303316e+00 -3.8068863524267380e-04 +0.0000000000000000e+00 +9.9999992753807909e-01
3.8000000000000020e+00 +9.0442571429075223e+00 +0.0000000000000000e+00 +3.7999999031865319e+00 -3.9097752128588190e-04 +0.0000000000000000e+00 +9.9999992356828626e-01
3.9000000000000021e+00 +9.0442175307110979e+00 +0.0000000000000000e+00 +3.8999998953404602e+00 -4.0126640718409352e-04 +0.0000000000000000e+00 +9.9999991949263223e-01
4.0000000000000018e+00 +9.0441768896260903e+00 +0.0000000000000000e+00 +3.9999998870815299e+00 -4.1155529295992837e-04 +0.0000000000000000e+00 +9.9999991531111709e-01
4.1000000000000014e+00 +9.0441352196524711e+00 +0.0000000000000000e+00 +4.0999998783991547e+00 -4.2184417979216260e-04 +0.0000000000000000e+00 +9.9999991102374031e-01
4.2000000000000011e+00 +9.0440925207900573e+00 +0.0000000000000000e+00 +4.1999998692827489e+00 -4.3213306885981376e-04 +0.0000000000000000e+00 +9.9999990663050131e-01
4.3000000000000007e+00 +9.0440487930386233e+00 +0.0000000000000000e+00 +4.2999998597217264e+00 -4.4242196018586156e-04 +0.0000000000000000e+00 +9.9999990213140011e-01
4.4000000000000004e+00 +9.0440040363979435e+00 +0.0000000000000000e+00 +4.3999998497055000e+00 -4.5271085379329414e-04 +0.0000000000000000e+00 +9.9999989752643648e-01
4.5000000000000000e+00 +9.0439582508677887e+00 +0.0000000000000000e+00 +4.4999998392234843e+00 -4.6299974970510834e-04 +0.0000000000000000e+00 +9.9999989281561041e-01
4.5999999999999996e+00 +9.0439114364479263e+00 +0.0000000000000000e+00 +4.5999998282650933e+00 -4.7328864794430990e-04 +0.0000000000000000e+00 +9.9999988799892181e-01
4.6999999999999993e+00 +9.0438635931381217e+00 +0.0000000000000000e+00 +4.6999998168197399e+00 -4.8357754853391340e-04 +0.0000000000000000e+00 +9.9999988307637067e-01
4.7999999999999989e+00 +9.0438147209381405e+00 +0.0000000000000000e+00 +4.7999998048768386e+00 -4.9386645149694230e-04 +0.0000000000000000e+00 +9.9999987804795687e-01
4.8999999999999986e+00 +9.0437648198477429e+00 +0.0000000000000000e+00 +4.8999997924258025e+00 -5.0415535685642868e-04 +0.0000000000000000e+00 +9.9999987291368031e-01
4.9999999999999982e+00 +9.0437138898666891e+00 +0.0000000000000000e+00 +4.9999997794560453e+00 -5.1444426463541370e-04 +0.0000000000000000e+00 +9.9999986767354088e-01
5.0999999999999979e+00 +9.0436619309947766e+00 +0.0000000000000000e+00 +5.0999997659569818e+00 -5.2473317358585803e-04 +0.0000000000000000e+00 +9.9999986232753912e-01
