# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Wed Mar 17 19:37:56 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 107  qp7     26.88  -35.000   35.000   12.500
 108  sd4     27.27  -35.000   35.000   12.500
 109  sx7     27.27  -35.000   35.000   12.500
 110  sd5     27.47  -35.000   35.000   12.500
 111  qp6     27.63  -35.000   35.000   12.500
 112  qp6     27.79  -35.000   35.000   12.500
 113  sd7     28.23  -35.000   35.000   12.500
 114  bend2   28.41  -35.000   35.000   12.500
 115  bend3   28.58  -35.000   35.000   12.500
 116  bend3   28.76  -35.000   35.000   12.500
 117  bend3   28.93  -35.000   35.000   12.500
 118  bend3   29.11  -35.000   35.000   12.500
 119  bend4   29.29  -35.000   35.000   12.500
 120  sd7     29.73  -35.000   35.000   12.500
 121  qp9     29.89  -35.000   35.000   12.500
 122  qp9     30.05  -35.000   35.000   12.500
 123  sd8     30.25  -35.000   35.000   12.500
 124  sx9     30.25  -35.000   35.000   12.500
 125  sd9     30.72  -35.000   35.000   12.500
 126  qp10    30.88  -35.000   35.000   12.500
 127  qp10    31.04  -35.000   35.000   12.500
 128  sd8     31.24  -35.000   35.000   12.500
 129  sx10    31.24  -35.000   35.000   12.500
 130  sdac1   32.25  -35.000   35.000   12.500
 131  ssdac   32.25  -35.000   35.000    2.500
 132  sdac2   32.45  -35.000   35.000    2.500
 133  sdac2   32.65  -35.000   35.000    2.500
 134  sdac2   32.85  -35.000   35.000    2.500
 135  sdac2   33.05  -35.000   35.000    2.500
 136  sdac2   33.25  -35.000   35.000    2.500
 137  sdac2   33.45  -35.000   35.000    2.500
 138  sdac2   33.65  -35.000   35.000    2.500
 139  sdac2   33.85  -35.000   35.000    2.500
 140  sdac2   34.05  -35.000   35.000    2.500
 141  esdac   34.05  -35.000   35.000   12.500
 142  sdac1   35.05  -35.000   35.000   12.500
 143  sx10    35.05  -35.000   35.000   12.500
 144  sd8     35.25  -35.000   35.000   12.500
 145  qp10    35.41  -35.000   35.000   12.500
 146  qp10    35.57  -35.000   35.000   12.500
 147  sd9     36.05  -35.000   35.000   12.500
 148  sx9     36.05  -35.000   35.000   12.500
 149  sd8     36.25  -35.000   35.000   12.500
 150  qp9     36.41  -35.000   35.000   12.500
 151  qp9     36.57  -35.000   35.000   12.500
 152  sd7     37.01  -35.000   35.000   12.500
 153  bend2   37.18  -35.000   35.000   12.500
 154  bend3   37.36  -35.000   35.000   12.500
 155  bend3   37.53  -35.000   35.000   12.500
 156  bend3   37.71  -35.000   35.000   12.500
 157  bend3   37.88  -35.000   35.000   12.500
 158  bend4   38.06  -35.000   35.000   12.500
 159  sd7     38.50  -35.000   35.000   12.500
 160  qp6     38.66  -35.000   35.000   12.500
 161  qp6     38.82  -35.000   35.000   12.500
 162  sd5     39.02  -35.000   35.000   12.500
 163  sx7     39.02  -35.000   35.000   12.500
 164  sd4     39.41  -35.000   35.000   12.500
 165  qp7     39.64  -35.000   35.000   12.500
 166  qp7     39.87  -35.000   35.000   12.500
 167  sd3     40.07  -35.000   35.000   12.500
 168  sx8     40.07  -35.000   35.000   12.500
 169  sd2     40.46  -35.000   35.000   12.500
 170  qp8     40.62  -35.000   35.000   12.500
 171  qp8     40.78  -35.000   35.000   12.500
 172  sd13    44.26  -35.000   35.000   12.500
 173  sd13    47.74  -35.000   35.000   12.500
 174  qp8     47.90  -35.000   35.000   12.500
 175  qp8     48.06  -35.000   35.000   12.500
 176  sd2     48.45  -35.000   35.000   12.500
 177  sx8     48.45  -35.000   35.000   12.500
 178  sd3     48.65  -35.000   35.000   12.500
 179  qp7     48.88  -35.000   35.000   12.500
 180  qp7     49.11  -35.000   35.000   12.500
 181  sd4     49.50  -35.000   35.000   12.500
 182  sx7     49.50  -35.000   35.000   12.500
 183  sd5     49.70  -35.000   35.000   12.500
 184  qp6     49.86  -35.000   35.000   12.500
 185  qp6     50.02  -35.000   35.000   12.500
 186  sd7     50.46  -35.000   35.000   12.500
 187  bend2   50.64  -35.000   35.000   12.500
 188  bend3   50.82  -35.000   35.000   12.500
 189  bend3   50.99  -35.000   35.000   12.500
 190  bend3   51.17  -35.000   35.000   12.500
 191  bend3   51.34  -35.000   35.000   12.500
 192  bend4   51.52  -35.000   35.000   12.500
 193  sd7     51.96  -35.000   35.000   12.500
 194  qp9     52.12  -35.000   35.000   12.500
 195  qp9     52.28  -35.000   35.000   12.500
 196  sd8     52.48  -35.000   35.000   12.500
 197  sx9     52.48  -35.000   35.000   12.500
 198  sd9     52.95  -35.000   35.000   12.500
 199  qp10    53.11  -35.000   35.000   12.500
 200  qp10    53.27  -35.000   35.000   12.500
 201  sd8     53.47  -35.000   35.000   12.500
 202  sx10    53.47  -35.000   35.000   12.500
 203  sdac    55.38  -35.000   35.000   12.500
 204  sdac    57.28  -35.000   35.000   12.500
 205  sx10    57.28  -35.000   35.000   12.500
 206  sd8     57.48  -35.000   35.000   12.500
 207  qp10    57.64  -35.000   35.000   12.500
 208  qp10    57.80  -35.000   35.000   12.500
 209  sd9     58.28  -35.000   35.000   12.500
 210  sx9     58.28  -35.000   35.000   12.500
 211  sd8     58.48  -35.000   35.000   12.500
 212  qp9     58.64  -35.000   35.000   12.500
 213  qp9     58.80  -35.000   35.000   12.500
 214  sd7     59.24  -35.000   35.000   12.500
 215  bend2   59.41  -35.000   35.000   12.500
 216  bend3   59.59  -35.000   35.000   12.500
 217  bend3   59.77  -35.000   35.000   12.500
 218  bend3   59.94  -35.000   35.000   12.500
 219  bend3   60.12  -35.000   35.000   12.500
 220  bend4   60.29  -35.000   35.000   12.500
 221  sd7     60.73  -35.000   35.000   12.500
 222  qp6     60.89  -35.000   35.000   12.500
 223  qp6     61.05  -35.000   35.000   12.500
 224  sd5     61.25  -35.000   35.000   12.500
 225  sx7     61.25  -35.000   35.000   12.500
 226  sd4     61.64  -35.000   35.000   12.500
 227  qp7     61.87  -35.000   35.000   12.500
 228  qp7     62.10  -35.000   35.000   12.500
 229  sd3     62.30  -35.000   35.000   12.500
 230  sx8     62.30  -35.000   35.000   12.500
 231  sd2     62.69  -35.000   35.000   12.500
 232  qp8     62.85  -35.000   35.000   12.500
 233  qp8     63.01  -35.000   35.000   12.500
 234  sd13    66.49  -35.000   35.000   12.500
 235  sd13    69.98  -35.000   35.000   12.500
 236  qp8     70.14  -35.000   35.000   12.500
 237  qp8     70.30  -35.000   35.000   12.500
 238  sd2     70.69  -35.000   35.000   12.500
 239  sx6     70.69  -35.000   35.000   12.500
 240  sd3     70.89  -35.000   35.000   12.500
 241  qp7     71.12  -35.000   35.000   12.500
 242  qp7     71.35  -35.000   35.000   12.500
 243  sd4     71.74  -35.000   35.000   12.500
 244  sx5     71.74  -35.000   35.000   12.500
 245  sd5     71.94  -35.000   35.000   12.500
 246  qp6     72.10  -35.000   35.000   12.500
 247  qp6     72.26  -35.000   35.000   12.500
 248  sd7     72.70  -35.000   35.000   12.500
 249  bend2   72.87  -35.000   35.000   12.500
 250  bend3   73.05  -35.000   35.000   12.500
 251  bend3   73.22  -35.000   35.000   12.500
 252  bend3   73.40  -35.000   35.000   12.500
 253  bend3   73.57  -35.000   35.000   12.500
 254  bend4   73.75  -35.000   35.000   12.500
 255  sd7     74.19  -35.000   35.000   12.500
 256  qp4     74.35  -35.000   35.000   12.500
 257  qp4     74.51  -35.000   35.000   12.500
 258  sd8     74.71  -35.000   35.000   12.500
 259  sx3     74.71  -35.000   35.000   12.500
 260  sd9     75.19  -35.000   35.000   12.500
 261  qp5     75.35  -35.000   35.000   12.500
 262  qp5     75.51  -35.000   35.000   12.500
 263  sd10    75.98  -35.000   35.000   12.500
 264  sx4     75.98  -35.000   35.000   12.500
 265  sd12    76.45  -35.000   35.000   12.500
 266  qp5     76.61  -35.000   35.000   12.500
 267  qp5     76.77  -35.000   35.000   12.500
 268  sd9     77.24  -35.000   35.000   12.500
 269  sx3     77.24  -35.000   35.000   12.500
 270  sd8     77.44  -35.000   35.000   12.500
 271  qp4     77.60  -35.000   35.000   12.500
 272  qp4     77.76  -35.000   35.000   12.500
 273  sd7     78.20  -35.000   35.000   12.500
 274  bend2   78.38  -35.000   35.000   12.500
 275  bend3   78.55  -35.000   35.000   12.500
 276  bend3   78.73  -35.000   35.000   12.500
 277  bend3   78.90  -35.000   35.000   12.500
 278  bend3   79.08  -35.000   35.000   12.500
 279  bend4   79.25  -35.000   35.000   12.500
 280  sd6     80.04  -35.000   35.000   12.500
 281  sx2     80.04  -35.000   35.000   12.500
 282  sd5     80.24  -35.000   35.000   12.500
 283  qp3     80.40  -35.000   35.000   12.500
 284  qp3     80.56  -35.000   35.000   12.500
 285  sd14    81.15  -35.000   35.000   12.500
 286  qp2     81.38  -35.000   35.000   12.500
 287  qp2     81.61  -35.000   35.000   12.500
 288  sd3     81.81  -35.000   35.000   12.500
 289  sx1     81.81  -35.000   35.000   12.500
 290  sd2     82.20  -35.000   35.000   12.500
 291  qp1     82.36  -35.000   35.000   12.500
 292  qp1     82.52  -35.000   35.000   12.500
 293  sd1     88.52  -35.000   35.000   12.500
 294  sd1     94.52  -35.000   35.000   12.500
 295  qp1     94.68  -35.000   35.000   12.500
 296  qp1     94.84  -35.000   35.000   12.500
 297  sd2     95.23  -35.000   35.000   12.500
 298  sx1     95.23  -35.000   35.000   12.500
 299  sd3     95.43  -35.000   35.000   12.500
 300  qp2     95.66  -35.000   35.000   12.500
 301  qp2     95.89  -35.000   35.000   12.500
 302  sd14    96.48  -35.000   35.000   12.500
 303  qp3     96.64  -35.000   35.000   12.500
 304  qp3     96.80  -35.000   35.000   12.500
 305  sd5     97.00  -35.000   35.000   12.500
 306  sx2     97.00  -35.000   35.000   12.500
 307  sd6     97.79  -35.000   35.000   12.500
 308  bend2   97.97  -35.000   35.000   12.500
 309  bend3   98.14  -35.000   35.000   12.500
 310  bend3   98.32  -35.000   35.000   12.500
 311  bend3   98.50  -35.000   35.000   12.500
 312  bend3   98.67  -35.000   35.000   12.500
 313  bend4   98.85  -35.000   35.000   12.500
 314  sd7     99.29  -35.000   35.000   12.500
 315  qp4     99.45  -35.000   35.000   12.500
 316  qp4     99.61  -35.000   35.000   12.500
 317  sd8     99.81  -35.000   35.000   12.500
 318  sx3     99.81  -35.000   35.000   12.500
 319  sd9    100.28  -35.000   35.000   12.500
 320  qp5    100.44  -35.000   35.000   12.500
 321  qp5    100.60  -35.000   35.000   12.500
 322  sd12   101.07  -35.000   35.000   12.500
 323  sx4    101.07  -35.000   35.000   12.500
 324  sd10   101.54  -35.000   35.000   12.500
 325  qp5    101.70  -35.000   35.000   12.500
 326  qp5    101.86  -35.000   35.000   12.500
 327  sd9    102.34  -35.000   35.000   12.500
 328  sx3    102.34  -35.000   35.000   12.500
 329  sd8    102.54  -35.000   35.000   12.500
 330  qp4    102.70  -35.000   35.000   12.500
 331  qp4    102.86  -35.000   35.000   12.500
 332  sd7    103.30  -35.000   35.000   12.500
 333  bend2  103.47  -35.000   35.000   12.500
 334  bend3  103.65  -35.000   35.000   12.500
 335  bend3  103.83  -35.000   35.000   12.500
 336  bend3  104.00  -35.000   35.000   12.500
 337  bend3  104.18  -35.000   35.000   12.500
 338  bend4  104.35  -35.000   35.000   12.500
 339  sd7    104.79  -35.000   35.000   12.500
 340  qp6    104.95  -35.000   35.000   12.500
 341  qp6    105.11  -35.000   35.000   12.500
 342  sd5    105.31  -35.000   35.000   12.500
 343  sx5    105.31  -35.000   35.000   12.500
 344  sd4    105.70  -35.000   35.000   12.500
 345  qp7    105.93  -35.000   35.000   12.500
 346  qp7    106.16  -35.000   35.000   12.500
 347  sd3    106.36  -35.000   35.000   12.500
 348  sx6    106.36  -35.000   35.000   12.500
 349  sd2    106.75  -35.000   35.000   12.500
 350  qp8    106.91  -35.000   35.000   12.500
 351  qp8    107.07  -35.000   35.000   12.500
 352  sd13   110.55  -35.000   35.000   12.500
 353  sd13   114.04  -35.000   35.000   12.500
 354  qp8    114.20  -35.000   35.000   12.500
 355  qp8    114.36  -35.000   35.000   12.500
 356  sd2    114.75  -35.000   35.000   12.500
 357  sx8    114.75  -35.000   35.000   12.500
 358  sd3    114.95  -35.000   35.000   12.500
 359  qp7    115.18  -35.000   35.000   12.500
 360  qp7    115.41  -35.000   35.000   12.500
 361  sd4    115.80  -35.000   35.000   12.500
 362  sx7    115.80  -35.000   35.000   12.500
 363  sd5    116.00  -35.000   35.000   12.500
 364  qp6    116.16  -35.000   35.000   12.500
 365  qp6    116.32  -35.000   35.000   12.500
 366  sd7    116.76  -35.000   35.000   12.500
 367  bend2  116.93  -35.000   35.000   12.500
 368  bend3  117.11  -35.000   35.000   12.500
 369  bend3  117.28  -35.000   35.000   12.500
 370  bend3  117.46  -35.000   35.000   12.500
 371  bend3  117.63  -35.000   35.000   12.500
 372  bend4  117.81  -35.000   35.000   12.500
 373  sd7    118.25  -35.000   35.000   12.500
 374  qp9    118.41  -35.000   35.000   12.500
 375  qp9    118.57  -35.000   35.000   12.500
 376  sd8    118.77  -35.000   35.000   12.500
 377  sx9    118.77  -35.000   35.000   12.500
 378  sd9    119.25  -35.000   35.000   12.500
 379  qp10   119.41  -35.000   35.000   12.500
 380  qp10   119.57  -35.000   35.000   12.500
 381  sd8    119.77  -35.000   35.000   12.500
 382  sx10   119.77  -35.000   35.000   12.500
 383  sdac   121.67  -35.000   35.000   12.500
 384  sdac   123.57  -35.000   35.000   12.500
 385  sx10   123.57  -35.000   35.000   12.500
 386  sd8    123.77  -35.000   35.000   12.500
 387  qp10   123.93  -35.000   35.000   12.500
 388  qp10   124.09  -35.000   35.000   12.500
 389  sd9    124.57  -35.000   35.000   12.500
 390  sx9    124.57  -35.000   35.000   12.500
 391  sd8    124.77  -35.000   35.000   12.500
 392  qp9    124.93  -35.000   35.000   12.500
 393  qp9    125.09  -35.000   35.000   12.500
 394  sd7    125.53  -35.000   35.000   12.500
 395  bend2  125.71  -35.000   35.000   12.500
 396  bend3  125.88  -35.000   35.000   12.500
 397  bend3  126.06  -35.000   35.000   12.500
 398  bend3  126.23  -35.000   35.000   12.500
 399  bend3  126.41  -35.000   35.000   12.500
 400  bend4  126.58  -35.000   35.000   12.500
 401  sd7    127.02  -35.000   35.000   12.500
 402  qp6    127.18  -35.000   35.000   12.500
 403  qp6    127.34  -35.000   35.000   12.500
 404  sd5    127.54  -35.000   35.000   12.500
 405  sx7    127.54  -35.000   35.000   12.500
 406  sd4    127.93  -35.000   35.000   12.500
 407  qp7    128.16  -35.000   35.000   12.500
 408  qp7    128.39  -35.000   35.000   12.500
 409  sd3    128.59  -35.000   35.000   12.500
 410  sx8    128.59  -35.000   35.000   12.500
 411  sd2    128.98  -35.000   35.000   12.500
 412  qp8    129.14  -35.000   35.000   12.500
 413  qp8    129.30  -35.000   35.000   12.500
 414  sd13   132.79  -35.000   35.000   12.500
 415  sd13   136.27  -35.000   35.000   12.500
 416  qp8    136.43  -35.000   35.000   12.500
 417  qp8    136.59  -35.000   35.000   12.500
 418  sd2    136.98  -35.000   35.000   12.500
 419  sx8    136.98  -35.000   35.000   12.500
 420  sd3    137.18  -35.000   35.000   12.500
 421  qp7    137.41  -35.000   35.000   12.500
 422  qp7    137.64  -35.000   35.000   12.500
 423  sd4    138.03  -35.000   35.000   12.500
 424  sx7    138.03  -35.000   35.000   12.500
 425  sd5    138.23  -35.000   35.000   12.500
 426  qp6    138.39  -35.000   35.000   12.500
 427  qp6    138.55  -35.000   35.000   12.500
 428  sd7    138.99  -35.000   35.000   12.500
 429  bend2  139.16  -35.000   35.000   12.500
 430  bend3  139.34  -35.000   35.000   12.500
 431  bend3  139.52  -35.000   35.000   12.500
 432  bend3  139.69  -35.000   35.000   12.500
 433  bend3  139.87  -35.000   35.000   12.500
 434  bend4  140.04  -35.000   35.000   12.500
 435  sd7    140.48  -35.000   35.000   12.500
 436  qp9    140.64  -35.000   35.000   12.500
 437  qp9    140.80  -35.000   35.000   12.500
 438  sd8    141.00  -35.000   35.000   12.500
 439  sx9    141.00  -35.000   35.000   12.500
 440  sd9    141.48  -35.000   35.000   12.500
 441  qp10   141.64  -35.000   35.000   12.500
 442  qp10   141.80  -35.000   35.000   12.500
 443  sd8    142.00  -35.000   35.000   12.500
 444  sx10   142.00  -35.000   35.000   12.500
 445  sdac   143.90  -35.000   35.000   12.500
 446  sdac   145.81  -35.000   35.000   12.500
 447  sx10   145.81  -35.000   35.000   12.500
 448  sd8    146.01  -35.000   35.000   12.500
 449  qp10   146.17  -35.000   35.000   12.500
 450  qp10   146.33  -35.000   35.000   12.500
 451  sd9    146.80  -35.000   35.000   12.500
 452  sx9    146.80  -35.000   35.000   12.500
 453  sd8    147.00  -35.000   35.000   12.500
 454  qp9    147.16  -35.000   35.000   12.500
 455  qp9    147.32  -35.000   35.000   12.500
 456  sd7    147.76  -35.000   35.000   12.500
 457  bend2  147.94  -35.000   35.000   12.500
 458  bend3  148.11  -35.000   35.000   12.500
 459  bend3  148.29  -35.000   35.000   12.500
 460  bend3  148.46  -35.000   35.000   12.500
 461  bend3  148.64  -35.000   35.000   12.500
 462  bend4  148.82  -35.000   35.000   12.500
 463  sd7    149.26  -35.000   35.000   12.500
 464  qp6    149.42  -35.000   35.000   12.500
 465  qp6    149.58  -35.000   35.000   12.500
 466  sd5    149.78  -35.000   35.000   12.500
 467  sx7    149.78  -35.000   35.000   12.500
 468  sd4    150.17  -35.000   35.000   12.500
 469  qp7    150.40  -35.000   35.000   12.500
 470  qp7    150.63  -35.000   35.000   12.500
 471  sd3    150.83  -35.000   35.000   12.500
 472  sx8    150.83  -35.000   35.000   12.500
 473  sd2    151.22  -35.000   35.000   12.500
 474  qp8    151.38  -35.000   35.000   12.500
 475  qp8    151.54  -35.000   35.000   12.500
 476  sd13   155.02  -35.000   35.000   12.500
 477  sd13   158.50  -35.000   35.000   12.500
 478  qp8    158.66  -35.000   35.000   12.500
 479  qp8    158.82  -35.000   35.000   12.500
 480  sd2    159.21  -35.000   35.000   12.500
 481  sx6    159.21  -35.000   35.000   12.500
 482  sd3    159.41  -35.000   35.000   12.500
 483  qp7    159.64  -35.000   35.000   12.500
 484  qp7    159.87  -35.000   35.000   12.500
 485  sd4    160.26  -35.000   35.000   12.500
 486  sx5    160.26  -35.000   35.000   12.500
 487  sd5    160.46  -35.000   35.000   12.500
 488  qp6    160.62  -35.000   35.000   12.500
 489  qp6    160.78  -35.000   35.000   12.500
 490  sd7    161.22  -35.000   35.000   12.500
 491  bend2  161.40  -35.000   35.000   12.500
 492  bend3  161.57  -35.000   35.000   12.500
 493  bend3  161.75  -35.000   35.000   12.500
 494  bend3  161.92  -35.000   35.000   12.500
 495  bend3  162.10  -35.000   35.000   12.500
 496  bend4  162.27  -35.000   35.000   12.500
 497  sd7    162.71  -35.000   35.000   12.500
 498  qp4    162.87  -35.000   35.000   12.500
 499  qp4    163.03  -35.000   35.000   12.500
 500  sd8    163.23  -35.000   35.000   12.500
 501  sx3    163.23  -35.000   35.000   12.500
 502  sd9    163.71  -35.000   35.000   12.500
 503  qp5    163.87  -35.000   35.000   12.500
 504  qp5    164.03  -35.000   35.000   12.500
 505  sd10   164.50  -35.000   35.000   12.500
 506  sx4    164.50  -35.000   35.000   12.500
 507  sd12   164.97  -35.000   35.000   12.500
 508  qp5    165.13  -35.000   35.000   12.500
 509  qp5    165.29  -35.000   35.000   12.500
 510  sd9    165.77  -35.000   35.000   12.500
 511  sx3    165.77  -35.000   35.000   12.500
 512  sd8    165.97  -35.000   35.000   12.500
 513  qp4    166.13  -35.000   35.000   12.500
 514  qp4    166.29  -35.000   35.000   12.500
 515  sd7    166.73  -35.000   35.000   12.500
 516  bend2  166.90  -35.000   35.000   12.500
 517  bend3  167.08  -35.000   35.000   12.500
 518  bend3  167.25  -35.000   35.000   12.500
 519  bend3  167.43  -35.000   35.000   12.500
 520  bend3  167.60  -35.000   35.000   12.500
 521  bend4  167.78  -35.000   35.000   12.500
 522  sd6    168.57  -35.000   35.000   12.500
 523  sx2    168.57  -35.000   35.000   12.500
 524  sd5    168.77  -35.000   35.000   12.500
 525  qp3    168.93  -35.000   35.000   12.500
 526  qp3    169.09  -35.000   35.000   12.500
 527  sd14   169.68  -35.000   35.000   12.500
 528  qp2    169.91  -35.000   35.000   12.500
 529  qp2    170.14  -35.000   35.000   12.500
 530  sd3    170.34  -35.000   35.000   12.500
 531  sx1    170.34  -35.000   35.000   12.500
 532  sd2    170.73  -35.000   35.000   12.500
 533  qp1    170.89  -35.000   35.000   12.500
 534  qp1    171.05  -35.000   35.000   12.500
 535  sd1    177.05  -35.000   35.000   12.500
 536  sd1    183.05  -35.000   35.000   12.500
 537  qp1    183.21  -35.000   35.000   12.500
 538  qp1    183.37  -35.000   35.000   12.500
 539  sd2    183.76  -35.000   35.000   12.500
 540  sx1    183.76  -35.000   35.000   12.500
 541  sd3    183.96  -35.000   35.000   12.500
 542  qp2    184.19  -35.000   35.000   12.500
 543  qp2    184.42  -35.000   35.000   12.500
 544  sd14   185.01  -35.000   35.000   12.500
 545  qp3    185.17  -35.000   35.000   12.500
 546  qp3    185.33  -35.000   35.000   12.500
 547  sd5    185.53  -35.000   35.000   12.500
 548  sx2    185.53  -35.000   35.000   12.500
 549  sd6    186.32  -35.000   35.000   12.500
 550  bend2  186.49  -35.000   35.000   12.500
 551  bend3  186.67  -35.000   35.000   12.500
 552  bend3  186.84  -35.000   35.000   12.500
 553  bend3  187.02  -35.000   35.000   12.500
 554  bend3  187.20  -35.000   35.000   12.500
 555  bend4  187.37  -35.000   35.000   12.500
 556  sd7    187.81  -35.000   35.000   12.500
 557  qp4    187.97  -35.000   35.000   12.500
 558  qp4    188.13  -35.000   35.000   12.500
 559  sd8    188.33  -35.000   35.000   12.500
 560  sx3    188.33  -35.000   35.000   12.500
 561  sd9    188.81  -35.000   35.000   12.500
 562  qp5    188.97  -35.000   35.000   12.500
 563  qp5    189.13  -35.000   35.000   12.500
 564  sd12   189.60  -35.000   35.000   12.500
 565  sx4    189.60  -35.000   35.000   12.500
 566  sd10   190.07  -35.000   35.000   12.500
 567  qp5    190.23  -35.000   35.000   12.500
 568  qp5    190.39  -35.000   35.000   12.500
 569  sd9    190.86  -35.000   35.000   12.500
 570  sx3    190.86  -35.000   35.000   12.500
 571  sd8    191.06  -35.000   35.000   12.500
 572  qp4    191.22  -35.000   35.000   12.500
 573  qp4    191.38  -35.000   35.000   12.500
 574  sd7    191.82  -35.000   35.000   12.500
